Implementation,Device,Seconds,Frame
Dax,CUDA,0.126588,0
Dax,CUDA,0.12667,1
Dax,CUDA,0.126792,2
Dax,CUDA,0.126422,3
Dax,CUDA,0.127099,4
Dax,CUDA,0.126808,5
Dax,CUDA,0.126151,6
Dax,CUDA,0.126578,7
Dax,CUDA,0.126386,8
Dax,CUDA,0.126562,9
Dax,CUDA,0.126464,10
Dax,CUDA,0.126527,11
Dax,CUDA,0.126587,12
Dax,CUDA,0.126555,13
Dax,CUDA,0.126512,14
Dax,CUDA,0.126553,15
Dax,CUDA,0.126439,16
Dax,CUDA,0.126421,17
Dax,CUDA,0.126717,18
Dax,CUDA,0.12682,19
PISTON,CUDA,0.140969,0
PISTON,CUDA,0.141048,1
PISTON,CUDA,0.141219,2
PISTON,CUDA,0.141048,3
PISTON,CUDA,0.14102,4
PISTON,CUDA,0.141231,5
PISTON,CUDA,0.14093,6
PISTON,CUDA,0.141036,7
PISTON,CUDA,0.141064,8
PISTON,CUDA,0.140863,9
PISTON,CUDA,0.140911,10
PISTON,CUDA,0.14117,11
PISTON,CUDA,0.141739,12
PISTON,CUDA,0.141048,13
PISTON,CUDA,0.140984,14
PISTON,CUDA,0.141145,15
PISTON,CUDA,0.141036,16
PISTON,CUDA,0.14128,17
PISTON,CUDA,0.141293,18
PISTON,CUDA,0.141062,19
Dax,OpenMP,1.08777,0
Dax,OpenMP,0.957384,1
Dax,OpenMP,0.943004,2
Dax,OpenMP,0.964727,3
Dax,OpenMP,0.946019,4
Dax,OpenMP,0.952342,5
Dax,OpenMP,0.938232,6
Dax,OpenMP,0.943468,7
Dax,OpenMP,0.940332,8
Dax,OpenMP,0.943077,9
Dax,OpenMP,1.00206,10
Dax,OpenMP,0.943952,11
Dax,OpenMP,0.961698,12
Dax,OpenMP,0.935979,13
Dax,OpenMP,0.956933,14
Dax,OpenMP,0.942187,15
Dax,OpenMP,0.945662,16
Dax,OpenMP,0.940788,17
Dax,OpenMP,0.944706,18
Dax,OpenMP,0.941539,19
PISTON,OpenMP,1.14245,0
PISTON,OpenMP,1.01899,1
PISTON,OpenMP,1.02858,2
PISTON,OpenMP,1.02351,3
PISTON,OpenMP,0.983929,4
PISTON,OpenMP,1.00085,5
PISTON,OpenMP,0.994493,6
PISTON,OpenMP,1.03975,7
PISTON,OpenMP,1.00931,8
PISTON,OpenMP,0.997356,9
PISTON,OpenMP,1.01539,10
PISTON,OpenMP,0.988906,11
PISTON,OpenMP,0.990064,12
PISTON,OpenMP,0.99533,13
PISTON,OpenMP,1.0365,14
PISTON,OpenMP,1.00233,15
PISTON,OpenMP,0.998045,16
PISTON,OpenMP,0.997542,17
PISTON,OpenMP,0.987082,18
PISTON,OpenMP,1.00789,19
