



Local Process
Execute vtkThreshold id: 6319,  18.8646 seconds
Threshold::GatherInformation,  0.218271 seconds
RenderView::Update,  2.278 seconds
    vtkPVView::Update,  2.27795 seconds
        Execute vtkGeometryRepresentationWithFa,  2.27682 seconds
Still Render,  0.99469 seconds
vtkSMRepresentationProxy::GetRepresente,  0.179781 seconds
Execute vtkThreshold id: 6500,  18.91 seconds
Threshold::GatherInformation,  0.21738 seconds
RenderView::Update,  1.9679 seconds
    vtkPVView::Update,  1.96786 seconds
        Execute vtkGeometryRepresentationWithFa,  1.96676 seconds
Still Render,  1.00321 seconds
vtkSMRepresentationProxy::GetRepresente,  0.177456 seconds
Execute vtkThreshold id: 6681,  19.0542 seconds
Threshold::GatherInformation,  0.217706 seconds
RenderView::Update,  1.99113 seconds
    vtkPVView::Update,  1.99109 seconds
        Execute vtkGeometryRepresentationWithFa,  1.99001 seconds
Still Render,  1.11021 seconds
vtkSMRepresentationProxy::GetRepresente,  0.17816 seconds
Execute vtkThreshold id: 6862,  20.6369 seconds
Threshold::GatherInformation,  0.218144 seconds
RenderView::Update,  1.97271 seconds
    vtkPVView::Update,  1.97266 seconds
        Execute vtkGeometryRepresentationWithFa,  1.97156 seconds
Still Render,  1.08491 seconds
vtkSMRepresentationProxy::GetRepresente,  0.177706 seconds
Execute vtkThreshold id: 7043,  19.2627 seconds
Threshold::GatherInformation,  0.217597 seconds
RenderView::Update,  2.00457 seconds
    vtkPVView::Update,  2.00452 seconds
        Execute vtkGeometryRepresentationWithFa,  2.00344 seconds
Still Render,  1.12337 seconds
vtkSMRepresentationProxy::GetRepresente,  0.178844 seconds
Execute vtkThreshold id: 7224,  23.81 seconds
Threshold::GatherInformation,  0.21751 seconds
RenderView::Update,  1.9833 seconds
    vtkPVView::Update,  1.98325 seconds
        Execute vtkGeometryRepresentationWithFa,  1.98214 seconds
Still Render,  1.08876 seconds
vtkSMRepresentationProxy::GetRepresente,  0.177895 seconds
Execute vtkThreshold id: 7405,  19.1566 seconds
Threshold::GatherInformation,  0.218096 seconds
RenderView::Update,  1.99827 seconds
    vtkPVView::Update,  1.99822 seconds
        Execute vtkGeometryRepresentationWithFa,  1.99714 seconds
Still Render,  1.12099 seconds
vtkSMRepresentationProxy::GetRepresente,  0.178342 seconds
Execute vtkThreshold id: 7586,  19.0469 seconds
Threshold::GatherInformation,  0.221983 seconds
RenderView::Update,  1.98233 seconds
    vtkPVView::Update,  1.98229 seconds
        Execute vtkGeometryRepresentationWithFa,  1.98119 seconds
Still Render,  1.08945 seconds
vtkSMRepresentationProxy::GetRepresente,  0.178343 seconds
Execute vtkThreshold id: 7767,  18.9969 seconds
Threshold::GatherInformation,  0.217596 seconds
RenderView::Update,  1.98665 seconds
    vtkPVView::Update,  1.98661 seconds
        Execute vtkGeometryRepresentationWithFa,  1.98552 seconds
Still Render,  1.12426 seconds
vtkSMRepresentationProxy::GetRepresente,  0.178573 seconds
Execute vtkThreshold id: 7948,  19.0279 seconds
Threshold::GatherInformation,  0.217608 seconds
RenderView::Update,  1.98983 seconds
    vtkPVView::Update,  1.98978 seconds
        Execute vtkGeometryRepresentationWithFa,  1.9887 seconds
Still Render,  1.10111 seconds
vtkSMRepresentationProxy::GetRepresente,  0.178179 seconds
Execute vtkThreshold id: 8129,  20.2737 seconds
Threshold::GatherInformation,  0.217658 seconds
RenderView::Update,  1.9822 seconds
    vtkPVView::Update,  1.98216 seconds
        Execute vtkGeometryRepresentationWithFa,  1.98107 seconds
Still Render,  1.12359 seconds
vtkSMRepresentationProxy::GetRepresente,  0.177522 seconds
Execute vtkThreshold id: 8310,  21.9317 seconds
Threshold::GatherInformation,  0.217778 seconds
RenderView::Update,  1.98429 seconds
    vtkPVView::Update,  1.98425 seconds
        Execute vtkGeometryRepresentationWithFa,  1.98317 seconds
Still Render,  1.10547 seconds
vtkSMRepresentationProxy::GetRepresente,  0.177897 seconds
Execute vtkThreshold id: 8491,  20.2887 seconds
Threshold::GatherInformation,  0.217497 seconds
RenderView::Update,  1.98357 seconds
    vtkPVView::Update,  1.98353 seconds
        Execute vtkGeometryRepresentationWithFa,  1.98244 seconds
Still Render,  1.12301 seconds
vtkSMRepresentationProxy::GetRepresente,  0.177846 seconds
Execute vtkThreshold id: 8672,  20.0139 seconds
Threshold::GatherInformation,  0.217486 seconds
RenderView::Update,  1.99054 seconds
    vtkPVView::Update,  1.99049 seconds
        Execute vtkGeometryRepresentationWithFa,  1.98933 seconds
Still Render,  1.09738 seconds
vtkSMRepresentationProxy::GetRepresente,  0.177953 seconds
Execute vtkThreshold id: 8853,  18.9463 seconds
Threshold::GatherInformation,  0.217567 seconds
RenderView::Update,  1.97986 seconds
    vtkPVView::Update,  1.97982 seconds
        Execute vtkGeometryRepresentationWithFa,  1.97872 seconds
Still Render,  1.1265 seconds
vtkSMRepresentationProxy::GetRepresente,  0.177931 seconds
Execute vtkThreshold id: 9034,  19.0484 seconds
Threshold::GatherInformation,  0.2178 seconds
RenderView::Update,  1.98186 seconds
    vtkPVView::Update,  1.9818 seconds
        Execute vtkGeometryRepresentationWithFa,  1.9807 seconds
Still Render,  1.10484 seconds
vtkSMRepresentationProxy::GetRepresente,  0.178111 seconds
Execute vtkThreshold id: 9215,  18.9852 seconds
Threshold::GatherInformation,  0.217677 seconds
RenderView::Update,  1.98433 seconds
    vtkPVView::Update,  1.98428 seconds
        Execute vtkGeometryRepresentationWithFa,  1.98319 seconds
Still Render,  1.12946 seconds
vtkSMRepresentationProxy::GetRepresente,  0.178523 seconds
Execute vtkThreshold id: 9396,  23.6598 seconds
Threshold::GatherInformation,  0.218104 seconds
RenderView::Update,  2.02994 seconds
    vtkPVView::Update,  2.02988 seconds
