Device,Seconds,Trial
Serial STL,9.85298,0
Serial STL,9.67343,1
Serial STL,9.66517,2
Serial STL,9.67884,3
Serial STL,9.66904,4
Serial STL,9.67456,5
Serial STL,9.67656,6
Serial STL,9.66451,7
Serial STL,9.67211,8
Serial STL,9.67619,9
Serial STL,9.69267,10
Serial STL,9.69713,11
Serial STL,9.67202,12
Serial STL,9.67962,13
Serial STL,9.6885,14
Serial STL,9.66986,15
Serial STL,9.6874,16
Serial STL,9.66603,17
Serial STL,9.68689,18
Serial STL,9.6732,19
TBB 1 core,10.4128,0
TBB 1 core,10.1037,1
TBB 1 core,10.1188,2
TBB 1 core,10.1204,3
TBB 1 core,10.1272,4
TBB 1 core,10.1136,5
TBB 1 core,10.1293,6
TBB 1 core,10.1157,7
TBB 1 core,10.1275,8
TBB 1 core,10.1279,9
TBB 1 core,10.1153,10
TBB 1 core,10.1254,11
TBB 1 core,10.1128,12
TBB 1 core,10.1187,13
TBB 1 core,10.1292,14
TBB 1 core,10.1245,15
TBB 1 core,10.13,16
TBB 1 core,10.1393,17
TBB 1 core,10.1326,18
TBB 1 core,10.1251,19
TBB,2.81143,0
TBB,2.226,1
TBB,2.33376,2
TBB,2.26986,3
TBB,2.30805,4
TBB,2.33492,5
TBB,2.33124,6
TBB,2.25394,7
TBB,2.27877,8
TBB,2.26005,9
TBB,2.30282,10
TBB,2.29044,11
TBB,2.26857,12
TBB,2.32306,13
TBB,2.25042,14
TBB,2.25082,15
TBB,2.27732,16
TBB,2.3475,17
TBB,2.35528,18
TBB,2.31378,19
OpenMP 1 Core,11.9464,0
OpenMP 1 Core,11.4923,1
OpenMP 1 Core,11.481,2
OpenMP 1 Core,11.5374,3
OpenMP 1 Core,11.4769,4
OpenMP 1 Core,11.5089,5
OpenMP 1 Core,11.4784,6
OpenMP 1 Core,11.5105,7
OpenMP 1 Core,11.5207,8
OpenMP 1 Core,11.4916,9
OpenMP 1 Core,11.486,10
OpenMP 1 Core,11.5099,11
OpenMP 1 Core,11.5241,12
OpenMP 1 Core,11.5069,13
OpenMP 1 Core,11.4993,14
OpenMP 1 Core,11.4945,15
OpenMP 1 Core,11.5073,16
OpenMP 1 Core,11.5019,17
OpenMP 1 Core,11.4916,18
OpenMP 1 Core,11.519,19
OpenMP,4.08461,0
OpenMP,3.34899,1
OpenMP,3.3459,2
OpenMP,3.5327,3
OpenMP,3.44307,4
OpenMP,3.44682,5
OpenMP,3.41024,6
OpenMP,3.46313,7
OpenMP,3.38602,8
OpenMP,3.37378,9
OpenMP,3.34964,10
OpenMP,3.35514,11
OpenMP,3.37435,12
OpenMP,3.35425,13
OpenMP,3.46532,14
OpenMP,3.34802,15
OpenMP,3.40734,16
OpenMP,3.35974,17
OpenMP,3.36468,18
OpenMP,3.45733,19
CUDA,3.07773,0
CUDA,0.618219,1
CUDA,0.625089,2
CUDA,0.622497,3
CUDA,0.619189,4
CUDA,0.624828,5
CUDA,0.625373,6
CUDA,0.618865,7
CUDA,0.624127,8
CUDA,0.620182,9
CUDA,0.619135,10
CUDA,0.625343,11
CUDA,0.626029,12
CUDA,0.620136,13
CUDA,0.624489,14
CUDA,0.625238,15
CUDA,0.618678,16
CUDA,0.623285,17
CUDA,0.624684,18
CUDA,0.619802,19
VTK,18.8649,0
VTK,19.0309,1
VTK,19.7854,2
VTK,19.0279,3
VTK,20.2167,4
VTK,19.0133,5
VTK,19.0369,6
VTK,18.9911,7
VTK,19.1595,8
VTK,19.116,9
VTK,19.0229,10
VTK,19.0156,11
VTK,19.2331,12
VTK,19.0359,13
VTK,19.1489,14
VTK,21.1348,15
VTK,19.6587,16
VTK,19.0522,17
VTK,19.0779,18
VTK,18.9254,19
